_id,cur_val
68a4d7cccdcb576ac3090cc9,19490.85
68a4d7cccdcb576ac3090cca,671381.33
68a4d7cccdcb576ac3090ccb,3879.29
68a4d7cccdcb576ac3090ccc,232191
68a4d7cccdcb576ac3090ccd,26599.9
68a4d7cccdcb576ac3090cce,120152.65
68a4d7cccdcb576ac3090cd0,50788.95
68a4d7cccdcb576ac3090ccf,46347.57
68a4d7cccdcb576ac3090cd1,12320.1
68a4d7c4cdcb576ac3090a73,214939.98
68a4d7d5cdcb576ac30910e5,121423
68a4d7cccdcb576ac3090cd2,100535.82
68a4d7cccdcb576ac3090cd3,72159.58
68a4d7cccdcb576ac3090cd4,301747.04
68a4d7cccdcb576ac3090cd5,37230.76
68a4d7cccdcb576ac3090cd6,21538.7
68a4d7c4cdcb576ac3090a74,10129.77
68a4d7cccdcb576ac3090cd7,119199.76
68a4d7cccdcb576ac3090cd8,119199.76
68a4d7cccdcb576ac3090cd9,276357.39
68a4d7cccdcb576ac3090cda,38022.3
68a4d7cccdcb576ac3090cdb,492934.04
68a4d7c4cdcb576ac3090a75,3282.94
68a4d7c4cdcb576ac3090a76,508.55
68a4d7c5cdcb576ac3090a77,92801.85
68a4d7c5cdcb576ac3090a78,357532.63
68a4d7c5cdcb576ac3090a79,148909.55
68a4d7cccdcb576ac3090cde,162279.7
68a4d7cccdcb576ac3090ce6,10124.9
68a4d7c5cdcb576ac3090a7a,140201.63
68a4d7cccdcb576ac3090ce0,270673.89
68a4d7cccdcb576ac3090cdf,352741.84
68a4d7cccdcb576ac3090ce1,132841.33
68a4d7cccdcb576ac3090ce5,6120
68a4d7cccdcb576ac3090ce2,45197.35
68a4d7c9cdcb576ac3090bc3,67745.71
68a4d7d4cdcb576ac3090ffd,108891.84
68a4d7cccdcb576ac3090ce3,53124.68
68a4d7cccdcb576ac3090ce7,27987.22
68a4d7c5cdcb576ac3090a7c,15563.69
68a4d7c5cdcb576ac3090a80,183247.36
68a4d7cccdcb576ac3090cec,5373.47
68a4d7cccdcb576ac3090cef,150825.57
68a4d7c5cdcb576ac3090a7f,108693.63
68a4d7c5cdcb576ac3090a90,89073.26
68a4d7cdcdcb576ac3090cfe,73122.76
68a4d7cccdcb576ac3090cea,644561.58
68a4d7cccdcb576ac3090cf1,6579.06
68a4d7cccdcb576ac3090cf2,1926.59
68a4d7d0cdcb576ac3090e7a,5215
68a4d7cccdcb576ac3090cf5,84597.31
68a4d7cdcdcb576ac3090cf9,225291.39
68a4d7cdcdcb576ac3090cfa,43111.98
68a4d7cccdcb576ac3090cf4,2762.33
68a4d7cccdcb576ac3090cf6,124066.43
68a4d7cccdcb576ac3090cf8,47639
68a4d7cccdcb576ac3090cf7,78461.61
68a4d7cdcdcb576ac3090d32,53958.72
68a4d7cdcdcb576ac3090d33,164459.45
68a4d7c5cdcb576ac3090a81,134153.02
68a4d7cdcdcb576ac3090cfb,177008.04
68a4d7c5cdcb576ac3090a82,335990.88
68a4d7cfcdcb576ac3090d7d,42035.62
68a4d7c6cdcb576ac3090ab6,49953.51
68a4d7cdcdcb576ac3090cfc,3853.25
68a4d7cdcdcb576ac3090cfd,91368.52
68a4d7c5cdcb576ac3090a83,11822.08
68a4d7c5cdcb576ac3090a84,168859.02
68a4d7cdcdcb576ac3090cff,5531.77
68a4d7cdcdcb576ac3090d01,14572
68a4d7d1cdcb576ac3090ead,207820.5
68a4d7cdcdcb576ac3090d0a,8079.1
68a4d7cdcdcb576ac3090d08,24212.2
68a4d7c5cdcb576ac3090a85,53597.17
68a4d7cdcdcb576ac3090d03,12245.18
68a4d7cdcdcb576ac3090d04,81496.11
68a4d7cdcdcb576ac3090d05,35415.98
68a4d7cdcdcb576ac3090d06,20608.51
68a4d7cdcdcb576ac3090d07,303237.54
68a4d7cdcdcb576ac3090d09,172768.92
68a4d7cdcdcb576ac3090d0b,71458.5
68a4d7cdcdcb576ac3090d0c,37790.44
68a4d7cdcdcb576ac3090d0d,37702.33
68a4d7cdcdcb576ac3090d0e,1091342.35
68a4d7cdcdcb576ac3090d10,79450.48
68a4d7cdcdcb576ac3090d11,111935.65
68a4d7cdcdcb576ac3090d13,170206.92
68a4d7cdcdcb576ac3090d12,159512.61
68a4d7cdcdcb576ac3090d28,873832.5
68a4d7cdcdcb576ac3090d29,873832.5
68a4d7cdcdcb576ac3090d14,96848.8
68a4d7c5cdcb576ac3090a87,106205.31
68a4d7c5cdcb576ac3090a88,268923.99
68a4d7cdcdcb576ac3090d15,65479.65
68a4d7cdcdcb576ac3090d17,157687
68a4d7cdcdcb576ac3090d16,129548.46
68a4d7cdcdcb576ac3090d19,247791.81
68a4d7cdcdcb576ac3090d18,51530.42
68a4d7cdcdcb576ac3090d1a,714817.26
68a4d7cdcdcb576ac3090d22,5264.27
68a4d7cecdcb576ac3090d50,170282.79
68a4d7cecdcb576ac3090d4f,121388.8
68a4d7cecdcb576ac3090d52,134406.16
68a4d7cdcdcb576ac3090d1f,584127.77
68a4d7cecdcb576ac3090d51,176197.26
68a4d7cdcdcb576ac3090d24,5543.17
68a4d7cdcdcb576ac3090d23,5633.5
68a4d7c5cdcb576ac3090a8b,5520.26
68a4d7c5cdcb576ac3090a8c,5559.19
68a4d7cdcdcb576ac3090d21,221732.42
68a4d7cdcdcb576ac3090d1d,120311.39
68a4d7cdcdcb576ac3090d1c,1548434.16
68a4d7cdcdcb576ac3090d1e,98713.15
68a4d7cdcdcb576ac3090d20,1683808.16
68a4d7cdcdcb576ac3090d1b,156424.5
68a4d7c5cdcb576ac3090a8a,270945.03
68a4d7c5cdcb576ac3090a89,79570.4
68a4d7cdcdcb576ac3090d25,53486.9
68a4d7c5cdcb576ac3090a8d,248669.35
68a4d7cdcdcb576ac3090d26,56018.73
68a4d7cdcdcb576ac3090d27,61114.33
68a4d7cdcdcb576ac3090d2a,751520.86
68a4d7c5cdcb576ac3090a8f,81411.47
68a4d7cdcdcb576ac3090d2c,10546.46
68a4d7cdcdcb576ac3090d2b,15898.85
68a4d7c5cdcb576ac3090a91,69518.18
68a4d7cdcdcb576ac3090d2e,1597.93
68a4d7cdcdcb576ac3090d2f,51698.37
68a4d7d2cdcb576ac3090ecf,33097.48
68a4d7cdcdcb576ac3090d30,6907.61
68a4d7cdcdcb576ac3090d31,10565.81
68a4d7c5cdcb576ac3090a92,5278.07
68a4d7cdcdcb576ac3090d34,17292.99
68a4d7cdcdcb576ac3090d35,6203.38
68a4d7cdcdcb576ac3090d37,29826.94
68a4d7cdcdcb576ac3090d39,28349.3
68a4d7cdcdcb576ac3090d36,27563.92
68a4d7cdcdcb576ac3090d38,28975.67
68a4d7cdcdcb576ac3090d3a,28851.43
68a4d7cecdcb576ac3090d3d,94297.79
68a4d7cecdcb576ac3090d3c,171945.21
68a4d7cecdcb576ac3090d3b,6539.67
68a4d7cecdcb576ac3090d42,796.3
68a4d7cecdcb576ac3090d3f,796.3
68a4d7cecdcb576ac3090d41,796.3
68a4d7cecdcb576ac3090d3e,796.3
68a4d7cecdcb576ac3090d40,796.3
68a4d7c5cdcb576ac3090a96,3574.23
68a4d7c5cdcb576ac3090a93,325194.95
68a4d7cecdcb576ac3090d43,8748.99
68a4d7cecdcb576ac3090d44,20254.72
68a4d7cecdcb576ac3090d45,24038.74
68a4d7cecdcb576ac3090d4b,7520818.05
68a4d7cecdcb576ac3090d47,7621271.04
68a4d7cecdcb576ac3090d49,7340431.83
68a4d7cecdcb576ac3090d4a,7771541.37
68a4d7cecdcb576ac3090d46,4618723.2
68a4d7cecdcb576ac3090d48,2036535.77
68a4d7cecdcb576ac3090d4c,248.53
68a4d7cecdcb576ac3090d4d,18.26
68a4d7c5cdcb576ac3090a94,7500.25
